Graph,naive,queue_set,queue_count
1000,0,2,1
1624,0,2,1
2637,0,2,1
4282,0,5,2
6952,1,6,2
11289,1,11,5
18330,5,27,7
29764,4,27,11
48330,5,39,15
78476,11,96,29
127428,18,126,42
206914,22,177,62
335982,33,309,102
545560,59,553,171
885867,98,821,282
1438450,167,1387,442
2335722,239,2301,706
3792691,385,3658,1173
6158483,653,6866,1869
10000000,1086,14380,3270
