Graph,naive,queue_set,queue_count
100,0,0,0
144,0,0,0
207,0,0,0
298,0,0,0
429,0,0,0
616,0,0,0
886,0,0,0
1275,0,0,0
1833,0,1,1
2637,0,1,1
3793,1,5,1
5456,1,7,3
7848,2,14,5
11289,6,26,10
16238,125,42,12
23358,43,67,25
33599,38,132,44
48330,78,268,79
69520,151,561,178
100000,332,1211,325
