Graph,naive,queue_set,queue_count
100,0,0,0
128,1,0,0
163,0,0,0
207,0,0,0
264,1,1,0
336,0,1,0
429,0,2,0
546,0,2,1
696,1,3,1
886,2,6,2
1129,3,8,2
1439,3,13,4
1833,5,19,6
2336,7,32,8
2977,12,48,11
3793,18,86,19
4833,28,136,29
6159,42,227,43
7848,68,397,75
10000,110,607,111
